,From,To,Per run_Weight,Date_S,Date_E,Week_Count,Week_String
9932,MAHARASHTRA,ANDHRA PRADESH,1064.9329892972544,,,S M T W T F S,7
9933,GUJARAT,MADHYA PRADESH,607.0924976552881,,,  M T   T   S,4
9934,GUJARAT,UTTAR PRADESH,1100.907502344712,,,  M T   T   S,4
9935,MADHYA PRADESH,UTTAR PRADESH,607.0924976552881,,,  M T   T   S,4
9936,GUJARAT,MAHARASHTRA,830.7497563719077,,,S M   W T F  ,5
9937,GUJARAT,MADHYA PRADESH,320.20990229560914,,,S M   W T F  ,5
9938,GUJARAT,UTTAR PRADESH,580.671784157787,,,S M   W T F  ,5
9939,GUJARAT,BIHAR,278.36855717469626,,,S M   W T F  ,5
9940,MAHARASHTRA,MADHYA PRADESH,225.57917605471724,,,S M   W T F  ,5
9941,MAHARASHTRA,UTTAR PRADESH,409.0674950695688,,,S M   W T F  ,5
9942,MAHARASHTRA,BIHAR,196.10308524762158,,,S M   W T F  ,5
9943,MADHYA PRADESH,UTTAR PRADESH,368.92832926557014,,,S M   W T F  ,5
9944,MADHYA PRADESH,BIHAR,176.86074908475612,,,S M   W T F  ,5
9945,UTTAR PRADESH,BIHAR,1358.667608492926,,,S M   W T F  ,5
9946,PUNJAB,HARYANA,92.59557168940779,,,S M T W T F S,7
9947,PUNJAB,UTTAR PRADESH,368.03117645023394,,,S M T W T F S,7
9948,PUNJAB,DELHI NCT,66.41358687844804,,,S M T W T F S,7
9949,PUNJAB,RAJASTHAN,184.34865048191344,,,S M T W T F S,7
9950,PUNJAB,MADHYA PRADESH,202.9498079087732,,,S M T W T F S,7
9951,PUNJAB,GUJARAT,243.1300085638391,,,S M T W T F S,7
9952,PUNJAB,MAHARASHTRA,526.5311980273844,,,S M T W T F S,7
9953,HARYANA,UTTAR PRADESH,21.413825786014314,,,S M T W T F S,7
9954,HARYANA,DELHI NCT,3.864262242554121,,,S M T W T F S,7
9955,HARYANA,RAJASTHAN,10.726292058684717,,,S M T W T F S,7
9956,HARYANA,MADHYA PRADESH,11.808596955783191,,,S M T W T F S,7
9957,HARYANA,GUJARAT,14.146474483370929,,,S M T W T F S,7
9958,HARYANA,MAHARASHTRA,30.63612016300052,,,S M T W T F S,7
9959,UTTAR PRADESH,DELHI NCT,21.14190370850675,,,S M T W T F S,7
9960,UTTAR PRADESH,RAJASTHAN,58.685001073877494,,,S M T W T F S,7
9961,UTTAR PRADESH,MADHYA PRADESH,64.606438202476,,,S M T W T F S,7
9962,UTTAR PRADESH,GUJARAT,77.39728376834846,,,S M T W T F S,7
9963,UTTAR PRADESH,MAHARASHTRA,167.61437548303957,,,S M T W T F S,7
9964,DELHI NCT,RAJASTHAN,14.566720493037728,,,S M T W T F S,7
9965,DELHI NCT,MADHYA PRADESH,16.036532506175533,,,S M T W T F S,7
9966,DELHI NCT,GUJARAT,19.21146083229279,,,S M T W T F S,7
9967,DELHI NCT,MAHARASHTRA,41.605038998002854,,,S M T W T F S,7
9968,RAJASTHAN,MADHYA PRADESH,55.99036421093495,,,S M T W T F S,7
9969,RAJASTHAN,GUJARAT,67.07539105538922,,,S M T W T F S,7
9970,RAJASTHAN,MAHARASHTRA,145.26090884118923,,,S M T W T F S,7
